亞,a1
腌,a1
阿,a1
鴉,a1
阿母,a1 bo2
阿母,a1 bu2
阿兄,a1 hiann1
阿姨,a1 i5
亞鉛,a1 ian5
亞鉛鉼,a1 ian5 phiann2
亞鉛線,a1 ian5 suann3
阿猴,a1 kau5
阿妗,a1 kim7
阿公,a1 kong1
阿公店,a1 kong1 tiam3
阿公店溪,a1 kong1 tiam3 khe1
阿姑,a1 koo1
阿舅,a1 ku7
亞軍,a1 kun1
阿里港,a1 li2 kang2
阿里關,a1 li2 kuan1
阿里壟,a1 li2 long2
阿里不達,a1 li2 put4 tat8
阿里山,a1 li2 san1
阿里山鄉,a1 li2 san1 hiong1
阿里山線,a1 li2 san1 suann3
阿蓮區,a1 lian1 khu1
阿嗹社,a1 lian1 sia7
阿姆,a1 m2
阿媽,a1 ma2
阿娘,a1 nia5
阿爸,a1 pa1
阿爸,a1 pa5
阿爸,a1 pah4
阿伯,a1 peh4
鴉片,a1 phian3
鴉片仙,a1 phian3 sian1
阿婆,a1 po5
阿不倒仔,a1 put4 to2 a2
阿沙不魯,a1 sa1 puh4 luh4
阿桑,a1 sang2
阿西,a1 se1
阿舍,a1 sia3
阿舍囝,a1 sia3 kiann2
阿嫂,a1 so2
阿罩霧,a1 ta3 bu7
亞東醫院,a1 tang1 penn7 inn7
亞東醫院,a1 tang1 pinn7 inn7
亞太,a1 thai3
阿爹,a1 tia1
阿丈,a1 tiunn7
阿啄仔,a1 tok4 a2
亞東醫院,a1 tong1 penn7 inn7
亞東醫院,a1 tong1 pinn7 inn7
亞運,a1 un7
腌臢,a1 za1
阿姊,a1 ze2
阿姊,a1 zi2
阿叔,a1 ziek4
阿叔仔,a1 ziek4 a2
阿嬸,a1 zim2
亞洲,a1 ziu1
阿祖,a1 zoo2
仔,a2
啞,a2
猶,a2
猶未,a2 be7
猶未,a2 bue7
猶閣,a2 koh4
猶閣咧,a2 koh4 teh4
猶毋過,a2 m7 ko3
猶是,a2 si7
也,a7
也好,a7 ho2
也是,a7 si7
仔,ah4
啊,ah4
壓,ah4
抑,ah4
押,ah4
猶,ah4
矣,ah4
鴨,ah4
鴨仔,ah4 a2
鴨仔囝,ah4 a2 kiann2
鴨仔癉,ah4 a2 tan1
押後,ah4 au7
猶未,ah4 be7
鴨咪仔,ah4 bi5 a2
壓味,ah4 bi7
鴨母,ah4 bo2
鴨母喙,ah4 bo2 cui3
鴨母蹄,ah4 bo2 te5
抑無,ah4 bo5
鴨母,ah4 bu2
鴨母喙,ah4 bu2 cui3
鴨母蹄,ah4 bu2 te5
猶未,ah4 bue7
鴨羶,ah4 hian3
鴨雄仔,ah4 hing5 a2
鴨雄仔聲,ah4 hing5 a2 siann1
鴨鵤,ah4 kak4
猶閣,ah4 koh4
猶閣咧,ah4 koh4 teh4
猶毋過,ah4 m7 ko3
鴨卵,ah4 nng7
壓霸,ah4 pa3
押送,ah4 sang3
抑是,ah4 si7
猶是,ah4 si7
鴨鯗,ah4 siunn2
押韻,ah4 un7
鴨掌,ah4 ziang2
鴨掌,ah4 ziunn2
抑,ah8
曷,ah8
盒,ah8
盒仔,ah8 a2
曷使,ah8 sai2
抑是,ah8 si7
曷著,ah8 tioh8
哀,ai1
哎,ai1
埃,ai1
挨,ai1
哎喲喂,ai1 io7 ue5
哀求,ai1 kiu5
哀爸叫母,ai1 pe7 kio3 bo2
哀爸叫母,ai1 pe7 kio3 bu2
哀傷,ai1 siong1
哀怨,ai1 uan3
藹,ai2
噯,ai3
愛,ai3
曖,ai3
隘,ai3
噯仔,ai3 a2
愛護,ai3 hoo7
愛人,ai3 jin5
愛人仔,ai3 jin5 a2
愛哭,ai3 khau3
愛睏,ai3 khun3
愛睏藥仔,ai3 khun3 ioh8 a2
愛嬌,ai3 kiau1
愛國,ai3 kok4
隘寮下,ai3 liau5 e7
隘寮溪,ai3 liau5 khe1
愛人,ai3 lin5
愛人仔,ai3 lin5 a2
曖昧,ai3 mai7
愛心,ai3 sim1
愛惜,ai3 sioh4
愛媠,ai3 sui2
愛情,ai3 zing5
哎,aih4
噯,aih4
偝,ainn7
偝巾,ainn7 kin1
握,ak4
沃,ak4
齷,ak4
握手,ak4 ciu2
沃雨,ak4 hoo7
沃花,ak4 hue1
沃肥,ak4 pui5
沃澹,ak4 tam5
齷齪,ak4 zak4
沃水,ak4 zui2
庵,am1
掩,am1
罨,am1
諳,am1
醃,am1
闇,am1
𧌄,am1
掩崁,am1 kham3
醃缸,am1 kng1
掩咯雞,am1 kok8 ke1
掩咯雞,am1 kok8 kue1
庵古坑,am1 koo2 khenn1
醃瓜,am1 kue1
𧌄蜅蠐,am1 poo1 ze5
泔,am2
黯,am2
泔糜仔,am2 be5 a2
泔糜仔,am2 muai5 a2
泔糜仔,am2 mue5 a2
暗,am3
暗安,am3 an1
暗眠摸,am3 bin5 bong1
暗漠漠,am3 bok8 bok8
暗行,am3 hing7
暗號,am3 ho7
暗訪,am3 hong2
暗會,am3 hue7
暗崁,am3 kham3
暗間仔,am3 king1 a2
暗光鳥,am3 kong1 ziau2
暗唸,am3 liam7
暗路,am3 loo7
